company name,category,based in,tags,total funding,founded,website,company status
Solved,Spain,Valencia,"Software Development, SaaS, Industrial Manufacturing, Food and Beverage",No funding announced yet,2022,https://www.trysolved.com/,Active
Solvedio,Slovakia,Bratislava,"Cloud Infrastructure, Enterprise, Enterprise Software, Information Technology, SaaS, Software",Between €1-€100K,2021,https://solvedio.com/,
Solvee,Poland,Brzesko,"education, AI, school",No funding announced yet,2024,https://play.google.com/store/apps/details?id=com.mikolajpiech.solvee,Active
Solvemate,Germany,Berlin,"virtual agent, platform, customer support",,2015,www.solvemate.com,
Solvethys,France,Paris,"Banking, Financial Services, FinTech",No funding announced yet,2020,http://www.solvethys.com/,
Solvice,Belgium,Ghent,"AI, optimization, routing, scheduling",Between €1-€100K,2014,solvice.io,Active
Solvimon,Netherlands,Utrecht,"Google Tag Manager,Productivity,Tag Management",Between €5 million-€10 million,2022,https://www.solvimon.com/,Active
Solvo,Lithuania,Vilnius,"Financial service, crypto, cryptocurrency",Between €2.5 million-5 million,2022,https://solvo.finance/,
Solwena,Poland,Gdansk,"BigData, Real Estate, Sustainability",Between €1 million-€ 2.5 million,2016,https://solwena.com/,Active
Solyplus,Germany,Haselund,"disruptivetechnologies, hyaluronicacid, biopolymers, chitosan",Between €1 million-€ 2.5 million,2017,https://www.fundernation.eu/investments/solyplus-gmbh?lang=en,Active
Solytic,Germany,Berlin,"cleantech, solar, IoT, marketplace",No funding announced yet,2017,https://www.solytic.com/en/,
Somai Pharmaceuticals Ltd,Ireland,Dublin,Biopharma,No funding announced yet,2019,http://www.somaipharma.eu,
Somareality,Austria,Vienna,"Analytics, Health Care, Information Services, Life Science, Virtual Reality",Between €1 million-€ 2.5 million,2019,somareality.com,
Something Nothing,UK,London,"Food and Beverage, Music, Design",Between €100K-€500K,2017,https://somethingandnothing.co/,
Sommelier Du Parfum,France,Paris,"Perfume, scent, smell",No funding announced yet,2017,https://sommelierduparfum.com/en,
Sommer Co,Germany,Köln,"Videoproduction, Marketing",No funding announced yet,2004,https://www.sommer-co.com,
Sommet Education,Switzerland,"Chavannes, Vaud",Education,No funding announced yet,2016,http://www.sommet-education.com/,
Somnox,Netherlands,Delft,"robotics, innovation, robot",,2016,meetsomnox.com,
Somos,UK,Poole,"E-Commerce, E-Commerce Platforms, E-Learning, EdTech",Between €1-€100K,2021,https://somos.education/,
Sompani,Germany,Berlin,Staffing Agency,No funding announced yet,2017,https://sompani.com/,
Somsix,Netherlands,Enschede,"Atmosphere System, Big Bags, Productwaste",No funding announced yet,2017,https://www.somsix.com/,
Somvan,France,France,"Digital platform, Enabling inventory management,",Between €100K-€500K,2025,https://somvan.com/,Active
Sona,UK,London,"Apps, Elder Care, Employment, Enterprise Software, Hospitality, Human Resources, Logistics, Nursing and Residential Care,",Between €1 million-€ 2.5 million,2021,https://www.getsona.com/,
Sonant,Finland,Helsinki,"digital, app, language, communication, speech delays",,2019,https://www.sonant.fi,
Sonarc Innovations,Ireland,Dublin,"full audio range speaker, powerful sound, technology, mobile devices",Between €1-€100K,2016,http://sonarcinnovations.com/,
