company name,category,based in,tags,total funding,founded,website,company status
Grundium,Finland,Tampere,"camera, technology, advanced",N/A,2015,www.grundium.com,N/A
Grunfin,Estonia,Tallinn,"FinTech, GreenTech, Health Care, Impact Investing",Between €1 million-€ 2.5 million,2020,https://grunfin.com/,N/A
Grupa Oryx,Poland,Warsaw,"Business Consulting, Services, Finance",Between €100K-€500K,2022,https://www.oryx.pl,N/A
Grupo Primavera,Spain,Madrid,"Software, ERP, SaaS CRM",No funding announced yet,2021,https://grupoprimavera.com,Active
Grupo Wamos,Spain,Madrid,"Air Transportation, Ticketing, Tour Operator, Tourism, Travel Agency",No funding announced yet,2019,https://www.grupowamos.com,N/A
Gruppo Florence,Italy,Milan,"Beauty, Consumer Goods, Fashion",No funding announced yet,2020,https://www.gruppoflorence.it/en/,N/A
Gruup,UK,Milton Keynes,"Computer, Content, Digital Marketing, Software",Between €100K-€500K,2020,https://www.gruup.io/,N/A
Grycle,Italy,Milano,"Electronics, Information Technology, Manufacturing, Software",Between €100K-€500K,2021,http://www.grycle.com/,N/A
Gryning,Sweden,Källö-Knippla,"ai, fashion, tech",No funding announced yet,2024,https://gryningstudios.com,Active
Gryphon Group,UK,London,"Finance, Financial Services, Insurance",Above €25 million,2016,http://www.gghltd.co.uk/,N/A
Gryyn,UK,London,"Banking, Finance, Financial Services, Retail, Service Industry, Transportation, Travel",Between €1-€100K,2016,https://www.gryyn.net/,N/A
Gscan,Estonia,Tallinn,"Construction, Hardware, Homeland Security, Machine Learning, Physical Security",Between €500K-€ 1 million,2018,https://gscan.eu/,N/A
Gtmhub,Bulgaria,Sofia,"HR Tech, Strategic Priorities, Employees Performance, Gtmhub, Sofia",N/A,2015,www.gtmhub.com,N/A
Gtn,UK,London,"Market, Machine Learning, Software",N/A,2017,http://gtn.ai/,N/A
Gto Partners,UK,London,"Venture Capital, Private Equity, Investment",No funding announced yet,2020,https://www.gtopartners.com/,N/A
Gtrsuite,France,Paris,"Drive-To-Store, Dealer Locator, Lead Generation",Between €1 million-€ 2.5 million,2017,https://www.gtrsuite.com,N/A
Guaana,Estonia,Tallinn,"Data Science, Selection Process, Spaghetti Solution",N/A,2014,www.guaana.com,N/A
Guard By Offseq,Latvia,Riga,"cybersecurity, business",No funding announced yet,2025,https://guard.offseq.com,Active
Guard Technology,Germany,Hamburg,Cybersecurity,Between €1 million-€ 2.5 million,2021,https://guardtechnology.de/,Active
Guardcoin,UK,London,"Cryptocurrency, Financial Services",Between €1-€100K,2022,https://www.guardcoin.com,N/A
Guardcyber,Italy,Camaiore,"Family Cyber security, Digital Wellness, AI Parental Controls",Between €100K-€500K,2025,https://www.guardcyber.ai,Active
Guardenai,Hungary,Budapest,"AI-Powered Environmental Monitoring, Sustainable Technology Solutions, Predictive Ecosystem Management",Between €100K-€500K,2023,https://guarden.ai/,Active
Guarders Diagnostics,Switzerland,Geneva,"Health Care, Medical, Mobile Apps",No funding announced yet,2018,https://guardersdiagnostics.ch/,N/A
Guardey,Netherlands,Rotterdam,"GOOSE VPN, Cyber security, IT",No funding announced yet,2022,https://www.guardey.com/,N/A
Guardhog,UK,London,"Insurance, InsurTech",No funding announced yet,2016,http://guardhog.com,N/A
Guardian,Estonia,Tallinn,"AI, Radartech, Elderly Care, Health Tech",Between €100K-€500K,2024,https://www.guardianhome.eu/,Active
Guardian Angel,UK,Manchester,"Communities, Platform",N/A,2017,http://www.guardianangel.network,N/A
Guardiot,Czechia,Prague,"Cyber Security, Industrial, Information Technology, Internet of Things",No funding announced yet,2020,guardiot.io,N/A
Guardsquare,Belgium,Leuven,"App Protection, Hacking, ProGuard, DexGuard, iXGuard, Guardsquare, Leuven",N/A,2014,https://www.guardsquare.com/en,N/A
Guava Creative,UK,London,"branding, marketing, design",N/A,2016,http://www.guava-creative.com,N/A
Guavahr,Estonia,Tartu,"Communities, Fitness, Food and Beverage, Health Care, Software",Between €500K-€ 1 million,2018,https://guavahr.com,N/A
Guavapay,UK,London,"BaaS, payment processor, online payments",No funding announced yet,2022,guavapay.com,N/A
Guayaba,France,Paris,"Cinema, Streaming, Film",Between €100K-€500K,2021,https://www.guayaba.film/,N/A
Gubbe,Finland,Espoo,"Elder Care, Elderly, Health Care",Between €1 million-€ 2.5 million,2018,https://fi.gubbe.com/,N/A
Guditalia,UK,London,"foodtech, cheaper, food producers",Between €100K-€500K,2020,www.guditalia.co.uk,N/A
Guest Like Local,Greece,Athens,"Hospitality, Hotel, Marketplace, Tourism",No funding announced yet,2019,https://guestlikelocal.com,N/A
Guest Suite,France,Nantes,"Consumer Reviews, Enterprise Applications, Internet,Robotics",Between €1 million-€ 2.5 million,2013,guest-suite.com/,N/A
Guestia,Austria,Vienna,"Hospitality, travel",No funding announced yet,2020,www.guestia.at/,N/A
Guestmeter,Netherlands,Rotterdam,"hospitality, hotel, guest feedback, saas",N/A,2019,https://www.guestmeter.com,N/A
Guestnet,Italy,Brixen,"Hoteltech, Traveltech, SaaS, B2BSaaS",No funding announced yet,2022,www.guest.net,Active
Guestoodo,Italy,Milan,"Travel Arrangements, Travel, Platform, Accommodation",No funding announced yet,2019,https://www.guestoodo.com/,N/A
Guestpro,Spain,Islas Baleares,"Enterprise Software, Hospitality, Hotel, Information Technology, SaaS, Software, Travel, Vacation Rental",No funding announced yet,2018,https://www.guestpro.com/en,N/A
Guestready,UK,"London, UK","Poptech, Airbnb management, rental, GuestReady, London",N/A,2016,http://www.GuestReady.com,N/A
Guestreel,UK,Manchester,"events, photo sharing, qr code, event photo sharing",No funding announced yet,2025,https://guestreel.com,Active
Guestu,Portugal,Lisbon,"TravelTech, Guest Satisfaction, SaaS, IoT, Hospitality",N/A,2014,www.guestu.com,N/A
Guide Base,UK,Cambridge,"Adventure Travel, Leisure, Reservations",No funding announced yet,2020,http://www.guidebase.com/,N/A
Guide Education,UK,Raithby,"Consulting, EdTech, Education, Software",Between €5 million-€10 million,2015,https://www.guideeducation.co.uk/,N/A
Guided Energy,France,Paris,SaaS,Between €5 million-€10 million,2023,https://guided.energy/,Active
Guidedpr,UK,"London, Greater London, United Kingdom","Public Relations, Content Marketing, Artificial Intelligence, SaaS, Marketing, Publicity",No funding announced yet,2020,https://www.guidedpr.com,N/A
Guideglare,Czechia,Pilsen,"ai, artificial intelligence",No funding announced yet,2023,https://www.guideglare.com/,Active
Guidel,France,France,"Software Development, AI, Mobile App",Between €100K-€500K,2025,https://guidel.co/,Active
Guider,UK,London,"Education, Human Resources, Implement Effective",Between €500K-€ 1 million,2018,https://www.guider-ai.com/,N/A
Guidetodocs,UK,London,"Productivity, how-to guide creation tool, step by step instructions, steps recorder",No funding announced yet,2025,https://guidetodocs.com/,Active
Guidify,Slovenia,Slovenia,"Travel, Sports, Outdoors, Mobile, Action,",N/A,2019,https://guidify.io/,N/A
Guidoio,Italy,Milan,"E-Learning Providers, Redesigning, Driving School",Between €500K-€ 1 million,2022,https://www.guidoio.com/,Active
Guildx,Estonia,Tallinn,"Blockchain, Cryptocurrency, Financial Services",Between €100K-€500K,2022,https://guildx.io/,N/A
Guming Gmbh,Germany,Wattenbek,"energy gum, sustainable, energy alternative, on the go",No funding announced yet,2022,https://www.guming.de,N/A
Gumzzz,Romania,Cluj,"Dental, Healthcare, HealthTech, Appointments",Between €100K-€500K,2019,www.gumzzz.com,N/A
Gundo,Spain,Madrid,"Nutrition, Retail Technology, Wellness, Fitness",Between €100K-€500K,2021,https://gundo.life/,Active
Gunthy Ltd,UK,London,"Financial Services, Internet, Software",No funding announced yet,2018,https://gunthy.org/,N/A
Gunzilla Games,Germany,Frankfurt,"Gaming, Video Games, Computer Games",Between €10 million-€25 million,2020,https://gunzillagames.com/,N/A
Gurucall,Spain,Madrid,"Content, E-Learning, Education, Knowledge Management",No funding announced yet,2020,www.gurucall.io,N/A
Gurully Technologies,UK,London,"PTE, IELTS, Celpip, DET",No funding announced yet,2018,https://www.gurully.com/,Active
Gusto,Latvia,Riga,"food, delivery, robots",Between €1-€100K,2020,https://heigusto.com,N/A
Gutfeel,Germany,Munich,BigData,Between €2.5 million-5 million,2023,https://gutfeel.de/,Active
Gutmeister,Switzerland,Sankt Gallen,"Artificial Intelligence, Construction, Information Technology, Marketplace",No funding announced yet,2021,https://www.gutmeister.ch/,N/A
Guts Tickets,Netherlands,Amsterdam,"Blockchain, Ticketing, data analysis",Between €5 million-€10 million,2021,https://guts.tickets/,N/A
Gutxain,Spain,Valencia,"Advertising, Marketing, Advertising Platforms, App Marketing",No funding announced yet,2021,http://www.gutxain.com,Active
Guul,Estonia,Tallinn,"Big Data, Human Resources, Online Portals, Productivity Tools, Wellness",No funding announced yet,2022,https://guul.games,N/A
Guuru,Switzerland,Zurich,"Artificial Intelligence, Communications Infrastructure, Customer Service, E-Commerce, Information Technology, Messaging, Software",Between €5 million-€10 million,2015,https://www.guuru.com/,N/A
Guzzu,Spain,Barcelona,"Musicians, blockchain, nft",Between €100K-€500K,2021,https://www.guzzu.io/,N/A
Gx Blocks Energy,Greece,Athens,"Fintech, Blockchain, Sustainable Energy, CleanTech",No funding announced yet,2019,https://gxblocks.com/,N/A
Gxegy,UK,London,"money transfer, digital bank, neobank",No funding announced yet,2021,https://www.gxegy.com,N/A
Gyana,UK,London,"Analytics, Big Data, Cloud Data Services, Data Visualization, Market Research, Software",Between €5 million-€10 million,2015,http://www.gyana.com,N/A
Gyded,Sweden,Stockholm,"Analytics, Education, Education Management",No funding announced yet,2020,https://www.gyded.me/,N/A
Gyfted,Poland,Warsaw,"recruiting, culture, fit",Between €500K-€ 1 million,2020,gyfted.me,N/A
Gym Management Software,UK,London,gym management software,N/A,2019,https://fitness.wellyx.com/,N/A
Gym Nomad,Netherlands,"Amsterdam, Netherlands","Gym, Booking, Fitness",N/A,2017,https://www.gymnomad.com,N/A
Gymcraft,Spain,Malaga,"Gym app, Fitness app, VR, Gamification, eSports",N/A,2016,www.gymcraft.es,N/A
Gymforless,Spain,Barcelona,"Gym platform, Gym Map, Subscription",N/A,2013,www.gymforless.com,N/A
Gymnasty,Romania,Cluj-Napoca,"sedentary, B2B, gym owners",N/A,2018,https://www.gymnasty.net,N/A
Gymshark,UK,Solihull,"E-Commerce, Fitness ,Lifestyle",Above €25 million,2012,https://www.gymshark.com/,N/A
Gymstory,Netherlands,Amsterdam,"technology, iot, information services, innovation, fitness, digitising, fitness equipment, hardware, and software",N/A,2018,https://www.gymstory.nl/,N/A
H Elevation,France,Paris,hospitality networking hospitality jobs,No funding announced yet,2021,www.helevation.com,N/A
H2 Bulletin,UK,London,"Analytics, Clean Energy, CleanTech, Digital Media, News",No funding announced yet,2020,https://www.h2bulletin.com,N/A
H2 Green Steel,Sweden,Stockholm,"Manufacturing, Mining, Precious Metals",Above €25 million,2020,https://www.h2greensteel.com/,N/A
H2Greem,Spain,Huntoria,Energy,Above €25 million,2020,http://h2greem.com/,Active
H3Spways,Hungary,Budapest,"Medical, Modernize, Lifesaving",Between €100K-€500K,2021,https://h3spways.com/,N/A
H4 Customized Software,Hungary,Budapest,"Digital Transformation, SaaS, IoT, Industry 4.0, Collaboration, Efficiency",N/A,2018,www.h4-software.hu,N/A
H4Uni,Italy,Fossò,"proptech, real estate, rent platform",Between €1-€100K,2023,h4uni.com,Active
H4W Breast Cancer,Spain,Barcelona,"Health, SaaS",Above €25 million,2017,https://mehrs.es/h4w/,Active
Haaartland,Sweden,Stockholm,"Advertising, Analytics, Marketing, Social Network",Between €100K-€500K,2014,http://www.haaartland.com/,N/A
Haalia,UK,London,"Artificial Intelligence, Information Technology, Neuroscience, Software",No funding announced yet,2020,https://www.haalia.ai,N/A
