country,company_name,city,funding_amount,industry_tags,start_year,status,website,country_code
Croatia,"""DOSTOJAN ŽIVOT"" UDRUGA ZA ZAŠTITU LJUDSKIH PRAVA",,,,,,,
Croatia,"""DRAGO""",,,,,,,
Croatia,"""Dobri duh""- terapijsko, rekreacijsko i sportsko jahanje za osobe s posebnim potrebama",,,,,,,
Croatia,"""DraCon""- Dubrovačka cosplay organizacija",,,,,,,
Croatia,"""EKO FURKA""",,,,,,,
Croatia,"""EM-BEDER"" D.O.O. ŽEPČE",,,,,,,
Croatia,"""EURO LISICA"" d.o.o.",,,,,,,
Croatia,"""Ekipa""",,,,,,,
Croatia,"""FEREX"" d.o.o. u likvidaciji",,,,,,,
Croatia,"""GU"" BELJEVINA",,,,,,,
Croatia,"""HALILOVIĆ""",,,,,,,
Croatia,"""HOPE"" H.P.Ž.",,,,,,,
Croatia,"""HRVATSKI FENIKS"" SPLIT",,,,,,,
Croatia,"""HVIDR-a"" Požeško-slavonske županije",,,,,,,
Croatia,"""ICO-KOMERC"" D.O.O. U LIKVIDACIJI",,,,,,,
Croatia,"""INSTITUT ZA INDUSTRIJSKI RAZVOJ""",,,,,,,
Croatia,"""IRENET""",,,,,,,
Croatia,"""KAŠTELINA"" KAŠIĆ",,,,,,,
Croatia,"""KOPRIVICE SENJ""",,,,,,,
Croatia,"""KRASNICA"" BAKARAC",,,,,,,
Croatia,"""KRISTOV STOL"" MISIJSKA EUROPSKA INICIJATIVA",,,,,,,
Croatia,"""KRTEK""",,,,,,,
Croatia,"""KUĆA SUNCA""",,,,,,,
Croatia,"""LAMPICA""",,,,,,,
Croatia,"""M T A""",,,,,,,
Croatia,"""MALONOGOMETNI KLUB VODNJAN""",,,,,,,
Croatia,"""MARICOOP"" d.o.o. u likvidaciji",,,,,,,
Croatia,"""MEDICINSKA KONOPLJA,""",,,,,,,
Croatia,"""MLADI OPĆINE BRDOVEC""",,,,,,,
Croatia,"""NENO"" D.O.O. U LIKVIDACIJI",,,,,,,
Croatia,"""NOW EAST"" d.o.o. u likvidaciji",,,,,,,
Croatia,"""PAG-STARE UŽANCE""",,,,,,,
Croatia,"""PISCI TEATAR FILM""",,,,,,,
Croatia,"""POKRETOM DO CILJA""",,,,,,,
Croatia,"""Patriot""",,,,,,,
Croatia,"""RITAM ŽIVOTA"" SISAK",,,,,,,
Croatia,"""SINJSKA ALKA""",,,,,,,
Croatia,"""SPORTART""",,,,,,,
Croatia,"""Sveti Vid""",,,,,,,
Cyprus,""" L.I.T.A.T."" HOLDING CO LIMITED",,,,2005.0,,,
Cyprus,""" OH YES"" SNACKS LIMITED",,,,2001.0,,,
Cyprus,""" SURE IN "" INSURANCE AGENTS AND CONSULTANTS LTD",,,,1999.0,,,
Cyprus,""" THEODORA"" SERVICES LIMITED",,,,2008.0,,,
Cyprus,""" TOP TABLE "" RESTAURANTS LIMITED",,,,2000.0,,,
Cyprus,""" ΧΑΡΤΟΒΑΣΙΛΕΙΟ "" ΛΙΜΙΤΕΔ",,,,2002.0,,,
Cyprus,"""A & K PAPADOPOULLOS LEATHER AND SHOE SUPPLIERS LIMITED""",,,,1981.0,,,
Cyprus,"""A"" SPINE INVESTMENTS LIMITED",,,,2010.0,,,
Cyprus,"""A. & A. HOTELS LIMITED""",,,,1982.0,,,
Cyprus,"""A. & J.C. LIMITED""",,,,1977.0,,,
Cyprus,"""A. PILAVAKIS AND BROTHERS LIMITED""",,,,1980.0,,,
Cyprus,"""A.E.C. ASSOCIATED EUROPEAN CONSULTANCIES LIMITED""",,,,1980.0,,,
Cyprus,"""A.K."" EDIBLE OIL INDUSTRIES LIMITED",,,,1972.0,,,
Cyprus,"""A.S. AIR CONTROL LIMITED""",,,,1981.0,,,
Cyprus,"""A.S. ARTEMIS"" MARITIME COMPANY LIMITED",,,,1972.0,,,
Cyprus,"""A.S.P. BIOLOGIKOS COSMOS"" EMPORIUM LTD",,,,2008.0,,,
Cyprus,"""AB"" SPINE INVESTMENTS LIMITED",,,,2012.0,,,
Cyprus,"""ACTIVE LEBANON SECURITIES TRADING LIMITED""",,,,1983.0,,,
Cyprus,"""AD"" SPINE INVESTMENTS LIMITED",,,,2012.0,,,
Cyprus,"""ADELA ESTATES LIMITED""",,,,1980.0,,,
Cyprus,"""ADRIANAPOLIS CONSULTING AND CONSTRUCTION CO. LIMITED""",,,,1980.0,,,
Cyprus,"""ADSCORE MARKETING LIMITED""",,,,2007.0,,,
Cyprus,"""ADVANCE"" MEDICAL SUPPLIES LIMITED",,,,1986.0,,,
Cyprus,"""AKMAR COMPANY LIMITED""",,,,1981.0,,,
Cyprus,"""AKYELTHEA"" CONSTRUCTIONS LIMITED",,,,1993.0,,,
Cyprus,"""AL MANAR RESTAURANT LIMITED""",,,,1980.0,,,
Cyprus,"""AL MUKHTALIF"" FOR PRESS, PUBLICATION AND DISTRIBUTION LIMITED",,,,1990.0,,,
Cyprus,"""ALEXANDER"" LEASINGS (CYPRUS) LIMITED",,,,2007.0,,,
Cyprus,"""ALFA - SCAN SHIPPING CO LIMITED""",,,,1987.0,,,
Cyprus,"""ALFA"" ADVERTISING AGENCY LIMITED",,,,1992.0,,,
Cyprus,"""ALKANA"" PROPERTIES LIMITED",,,,1992.0,,,
Cyprus,"""ALPINE HOUSE"" DEVELOPERS LIMITED",,,,1982.0,,,
Cyprus,"""ALSOS"" ATHLETIC ΤALENT SCOUTS LIMITED",,,,2000.0,,,
Cyprus,"""ALUSWISSE ALUMINIUM LIMITED""",,,,1980.0,,,
Cyprus,"""AMER HOLDINGS LIMITED""",,,,1982.0,,,
Cyprus,"""AMOROSA"" WINE AND SPIRITS LIMITED",,,,1969.0,,,
Cyprus,"""AN-CLAIR"" - DEVELOPERS LIMITED",,,,1993.0,,,
Cyprus,"""AN-FI-PA"" LIMITED",,,,1993.0,,,
Cyprus,"""ANASTASIA"" MEDICAL CENTER LIMITED",,,,2002.0,,,
Cyprus,"""ANCHOR"" GENERAL SURVEYING & ASSESSING BUREAU LIMITED",,,,1969.0,,,
Cyprus,"""ANDAMA"" HOUSING COMPANY LIMITED",,,,1974.0,,,
Cyprus,"""ANDREAS & ZOE THEOCHARIDE "" HOLDINGS LIMITED",,,,2009.0,,,
