name,company_number,jurisdiction_code,incorporation_date,company_type,branch,inactive,registered_address_street_address,registered_address_locality,registered_address_region,registered_address_postal_code,registered_address_country,country,started_in_year
""""" АВАНГАРД СТ """" ЕООД",201896093,bg,2012-02-01,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,"гр. Стара Загора, Цар Симеон Велики, No. 127, вх. А, ет. 4, ап. 4",област: Стара Загора,община: Стара Загора,6000,БЪЛГАРИЯ,Bulgaria,2012.0
""""" АГРОГРИЙН - КАЧАМАЧКОВА"""" ЕООД",204213478,bg,2016-08-19,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2016.0
""""" АИМ Къмършъл-85”"" ЕООД",203517706,bg,2015-04-29,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2015.0
""""" АЙ - ФРЕШ """" ООД",201697134,bg,2011-09-03,Limited Liability Company (Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2011.0
""""" АЛЕН - СПАС СОТИРОВ 2012"" ЕООД"" ЕООД",201950139,bg,2012-03-08,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" АЛКА ГРУП """" ООД",202061178,bg,2012-05-10,Limited Liability Company (Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" АМБУЛАТОРИЯ ЗА СПЕЦИАЛИЗИРАНА ИЗВЪНБОЛНИЧНА МЕДИЦИНСКА ПОМОЩ ПО ОЧНИ БОЛЕСТИ - ИНДИВИДУАЛНА ПРАКТИКА - Д-Р РАЙЧО АНДРЕЕВ - РЕФЛЕКТ"" ЕООД"" ЕООД",115529195,bg,,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,
""""" АНГОВ 83 """" ЕООД",202177542,bg,2012-08-06,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,"гр. Хасково, "" БЪЛГАРИЯ "", No. 17, ет. 1, ап. 3",област: Хасково,община: Хасково,6300,БЪЛГАРИЯ,Bulgaria,2012.0
""""" АНЕТА ГЮНДЖИЕВА-2012 """" ЕООД",202001761,bg,2012-04-03,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" АРБИТРАНС - АМГ """" ЕООД",201932803,bg,2012-02-27,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" АСО ГАРАНТ """" ЕООД",175198141,bg,,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,"гр. София, район. р-н Овча купел, ж.к. Овча  купел, блок. 520, вх. В, ет. 4, ап. 46",област: София (столица),община: Столична,1632,БЪЛГАРИЯ,Bulgaria,
""""" АТИВА- 80"""" ЕООД",202588878,bg,2013-05-22,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2013.0
""""" БАЛКАН ТРЕЙДАРС """" ЕООД",201428760,bg,2011-02-14,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2011.0
""""" БГ АВТОКЛУБ"""" ЕООД",203744611,bg,2015-10-19,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2015.0
""""" БГР СТРОЙ "" ЕООД"" ЕООД",200297685,bg,2008-08-13,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2008.0
""""" БЕБО - ВК """" ООД",201433371,bg,2011-02-15,Limited Liability Company (Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2011.0
""""" БЕСТ - ПАЙ """" ООД",201058033,bg,2010-02-19,Limited Liability Company (Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2010.0
""""" БИО ДИВАН """" ЕООД",201589500,bg,2011-06-10,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2011.0
""""" БЛЕК СИЙ СЪНРАЙЗ """" ЕООД",201167029,bg,2010-06-01,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2010.0
""""" БОБИ-РОС """" ЕООД",201996460,bg,2012-03-30,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" БОДИВЕС """" ООД",202066887,bg,2012-05-15,Limited Liability Company (Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" БОЖИДАР 1998 """" ЕООД",202110052,bg,2012-06-15,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" БОРЕКС БИЛД"""" ЕООД",175432402,bg,,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,"гр. Елин Пелин, пл. Николай Чудотворец, No. 2, ет. 3, ап. офис 7",област: София,община: Елин Пелин,2100,БЪЛГАРИЯ,Bulgaria,
""""" БРИГАДА ГРУП """" ООД",201991100,bg,2012-03-29,Limited Liability Company (Дружество с ограничена отговорност),,False,"гр. София, район. р-н Оборище, Триадица, No. 55, ет. офис 411",област: София (столица),община: Столична,1000,БЪЛГАРИЯ,Bulgaria,2012.0
""""" БРК - КОСМЕТИКС """" ООД",131256543,bg,,Limited Liability Company (Дружество с ограничена отговорност),,False,"гр. София, район. р-н Средец, "" Славянска "", No. 42, ет. 4, ап. 4",област: София (столица),община: Столична,1000,БЪЛГАРИЯ,Bulgaria,
""""" БУКВИЦА"" ЕООД"" ЕООД",201734942,bg,2011-10-06,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,"гр. София, Самоков, No. 1, ап. 48",област: София (столица),община: Столична,1113,БЪЛГАРИЯ,Bulgaria,2011.0
""""" БЯЛА ВИСТА РИЗОРТ 8 """" ЕООД",203076197,bg,2014-05-27,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2014.0
""""" ВЕЛАМАКРИ """" ООД",200336711,bg,2008-08-28,Limited Liability Company (Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2008.0
""""" ВЕРИТА М """" ЕООД",201188542,bg,2010-06-24,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2010.0
""""" ВИНОС ДЖЕНЕРАЛ КОНТРАКТИНГ"""" ООД",202206200,bg,2012-08-28,Limited Liability Company (Дружество с ограничена отговорност),,False,"гр. София, ж.к. ""Връбница-2"", блок. 632, вх. Е, ап. 4",област: София (столица),община: Столична,1231,БЪЛГАРИЯ,Bulgaria,2012.0
""""" ВОСТОК """" ЕООД",101637143,bg,,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,
""""" ВЮ-РА """" ЕООД",204739528,bg,2017-08-28,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2017.0
""""" ГАГО 98 """" ЕООД",201956067,bg,2012-03-12,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,"с. Крумово, ул.""Пею Яворов"", No. 15",област: Пловдив,община: Родопи,4112,БЪЛГАРИЯ,Bulgaria,2012.0
