country,company_name,city,funding_amount,industry_tags,start_year,status,website
UK,Solivus,London,7500000.0,"Solartech, solar, pannel",2016,True,https://www.solivus.com/
Netherlands,Solkie,Utrecht,,"Hrm, Surveys, Tools, Engagement",2018,True,https://solkie.nl
Greece,Solmeyea,Athens,,"footprint, co2, impact, green tech, emissions, environmental tech, microalgae",2019,True,https://www.solmeyea.com
UK,Solna,London,,"SMEs, data, tools",2017,True,https://solna.io/
France,Solo Creator Cafe,Paris,,"One Person Business, Creator Economy, Business, Solopreneur",2024,True,https://www.solocreatorcafe.com
Italy,Solo Crudo,Roma,300000.0,"Food, Beverage, Gentle Cooking",2015,True,https://www.solocrudo.com/
Spain,Solo Fly,Valencia,,"travel, solotravel, valencia, london, travelblog, and travelagency",2020,True,https://www.soloflytravel.co.uk
Spain,Solofoodies,Madrid,,"Advertising Services, Marketing, Blockchain",2021,True,https://solofoodies.com
Spain,Solon,Madrid,,"Internet, Internet Publishing, Convenient Access",2021,True,https://about.soloninterests.com/
Spain,Solon Access To Experts,Madrid,,"Internet Publishing, Internet, Information",2021,True,https://about.soloninterests.com/
Slovenia,Solopex,Vrhnika,,"Artificial Intelligence, Cloud Computing, Consulting, Consumer Electronics",2015,True,https://www.solopex.com/
Germany,Solos Mirrors Stecnius,Bavaria,,"Smart Mirror, Fitness, Healthy Lifestyle",2017,True,www.solosmirrors.com
Ireland,Solsign,Dublin,,"Renewable Energy, Geospatial, Space, Location Data, Solar, Property, Real Estate, Real Estate Software, Europe",2023,True,https://www.solsign.ai
Germany,Solsten,Berlin,7500000.0,"Information Technology, Machine Learning, Psychology",2018,True,https://getsolsten.com/
Norway,Solstorm,Trondheim,,"Research, Space, Technology",2020,True,https://www.solstorm.io/
Spain,Solum,Sevilla,750000.0,"Energy, Renewable Energy, Semiconductor Manufacturing",2019,True,https://www.solumpv.com/
UK,Solution Junkies,London,,"Information Technology, Marketing, Software",2020,True,https://solutionjunkies.co.uk/
Poland,Solution4Labs,Warsaw,,"LIMS. Lab Solutions, Lab Tech",2017,True,https://solution4labs.com/en/
Spain,Soluty Renting,Vigo,300000.0,"renting, leasing, motosharing, carsharing",2021,True,https://solutyrenting.com/
Spain,Solutz,Madrid,,"Energy, Energy Management, Software",2020,True,http://solutz.com
Spain,Solved,Valencia,,"Software Development, SaaS, Industrial Manufacturing, Food and Beverage",2022,True,https://www.trysolved.com/
Slovakia,Solvedio,Bratislava,50000.0,"Cloud Infrastructure, Enterprise, Enterprise Software, Information Technology, SaaS, Software",2021,True,https://solvedio.com/
Poland,Solvee,Brzesko,,"education, AI, school",2024,True,https://play.google.com/store/apps/details?id=com.mikolajpiech.solvee
Germany,Solvemate,Berlin,,"virtual agent, platform, customer support",2015,True,www.solvemate.com
France,Solvethys,Paris,,"Banking, Financial Services, FinTech",2020,True,http://www.solvethys.com/
Belgium,Solvice,Ghent,50000.0,"AI, optimization, routing, scheduling",2014,True,solvice.io
Netherlands,Solvimon,Utrecht,7500000.0,"Google Tag Manager,Productivity,Tag Management",2022,True,https://www.solvimon.com/
Lithuania,Solvo,Vilnius,3750000.0,"Financial service, crypto, cryptocurrency",2022,True,https://solvo.finance/
Poland,Solwena,Gdansk,1750000.0,"BigData, Real Estate, Sustainability",2016,True,https://solwena.com/
Germany,Solyplus,Haselund,1750000.0,"disruptivetechnologies, hyaluronicacid, biopolymers, chitosan",2017,True,https://www.fundernation.eu/investments/solyplus-gmbh?lang=en
Germany,Solytic,Berlin,,"cleantech, solar, IoT, marketplace",2017,True,https://www.solytic.com/en/
Ireland,Somai Pharmaceuticals Ltd,Dublin,,Biopharma,2019,True,http://www.somaipharma.eu
Austria,Somareality,Vienna,1750000.0,"Analytics, Health Care, Information Services, Life Science, Virtual Reality",2019,True,somareality.com
UK,Something Nothing,London,300000.0,"Food and Beverage, Music, Design",2017,True,https://somethingandnothing.co/
France,Sommelier Du Parfum,Paris,,"Perfume, scent, smell",2017,True,https://sommelierduparfum.com/en
Germany,Sommer Co,Köln,,"Videoproduction, Marketing",2004,True,https://www.sommer-co.com
Switzerland,Sommet Education,"Chavannes, Vaud",,Education,2016,True,http://www.sommet-education.com/
Netherlands,Somnox,Delft,,"robotics, innovation, robot",2016,True,meetsomnox.com
UK,Somos,Poole,50000.0,"E-Commerce, E-Commerce Platforms, E-Learning, EdTech",2021,True,https://somos.education/
Germany,Sompani,Berlin,,Staffing Agency,2017,True,https://sompani.com/
Netherlands,Somsix,Enschede,,"Atmosphere System, Big Bags, Productwaste",2017,True,https://www.somsix.com/
France,Somvan,France,300000.0,"Digital platform, Enabling inventory management,",2025,True,https://somvan.com/
UK,Sona,London,1750000.0,"Apps, Elder Care, Employment, Enterprise Software, Hospitality, Human Resources, Logistics, Nursing and Residential Care,",2021,True,https://www.getsona.com/
Finland,Sonant,Helsinki,,"digital, app, language, communication, speech delays",2019,True,https://www.sonant.fi
Ireland,Sonarc Innovations,Dublin,50000.0,"full audio range speaker, powerful sound, technology, mobile devices",2016,True,http://sonarcinnovations.com/
Poland,Sonarhome,Warsaw,7500000.0,"Proptech, Real Estate, iBuying",2018,True,https://sonarhome.pl/
Latvia,Sonarworks,Riga,,"Sound Tech, Music Tech, Entertainment",2012,True,www.sonarworks.com
Ireland,Sonas,Limerick,50000.0,"Venue Management, Wedding Planning, SaaS",2015,True,https://www.sonas.events
Croatia,Sonder Ai,Zagreb,300000.0,"Software Development, AI, Mobile App",2024,True,https://sonder-ai.com/
Switzerland,Sonect,Zuirch,,"Fintech, VirtualATM, Mobile Payment, Payment, App Development, Financial Services, and Mobile Wallet",2016,True,https://sonect.net/
Netherlands,Songplace,Amsterdam,300000.0,"Musicians, Automation, Playlist",2024,True,https://songplace.io
Germany,Songpush,Berlin,,Music,2021,True,https://www.songpush.com
Italy,Songtree,Rome,50000.0,"Independent Music, Music, Music Label",2015,True,https://songtr.ee/
UK,Sonichem,Melton Mowbray,1750000.0,"Bio-Base Chemicals, Biorefining, Renewable Chemicals, Clean Technology",2010,True,https://sonichem.com/
France,Sonio,Paris,,"Artificial Intelligence, Health Care, Medical Device",2020,True,https://www.sonio.ai/
Netherlands,Sonitu Innovations,Rotterdam,,"DOCSIS, FTTx, SERVAssurance, Analytic, Monitoring",2018,True,https://www.sonituinnovations.com
Germany,Sono Motors,"Munich,",,"mobility, manufacturing, vehicle",2016,True,www.sonomotors.com
Norway,Sonoclear,Trondheim,17500000.0,"brain tumor resection, image artifacts, ultrasound",2016,True,https://sonoclear.no/
Denmark,Sonohaler,Copenhagen,,"Health Care, Medical Device",2018,True,https://www.sonohaler.com/
UK,Sonovate,London,25000000.0,"B2B, Finance, Financial Services, FinTech, Funding Platform, Information Technology, Payments, SaaS",2014,True,http://www.sonovate.com
UK,Sons,London,1750000.0,"Health Care, Men's, Wellness",2018,True,https://sons.co.uk/
UK,Sonx,London,50000.0,Music,2022,True,https://www.sonx.com/
Finland,Sooma Medical,Helsinki,3750000.0,"Medical devices, Neuromodulation, Neurological devices, Therapeutics",2013,True,https://soomamedical.com/
Netherlands,Soon,Amsterdam,,"Heads of Customer support, Customer service, Customer experience, Operation manager",2018,True,https://www.soon.works/
Germany,Sooqua,Darmstadt,,"Environmental Consulting, Renewable Energy, Water",2018,True,https://sooqua.com/
Switzerland,Soort,Winterthur,1750000.0,"fintech, climate tech, AI, Blockchain",2022,True,https://soort.eco
UK,Sootheskin,London,,"beauty, skin, skin care",2019,True,https://www.sootheskin.com/
Norway,Soothing Relaxation,Oslo,,"music platform, downloadable music, tutorials, videos",2018,True,https://soothingrelaxation.com/
Ireland,Soothing Solutions,County Meath,,"Medtech, Children, Relief",2017,True,https://www.supersoothas.ie
Austria,Sophia Advisory,Vienna,,"Marketplace, Services Industry, Business Solutions",2020,True,https://www.hallosophia.com
Switzerland,Sophia Genetics,Lausanne,25000000.0,"DEMOCRATIZING, DATA-DRIVEN MEDICINE, medtech",2012,True,https://www.sophiagenetics.com/home.html
France,Sopht,Lyon,3750000.0,"AI, Environment, SaaS",2021,True,https://sopht.com/
Netherlands,Soplan,Rotterdam,,"Local businesses, Event managers, Coaches",2020,True,https://soplan.com
Italy,Soplaya,Udine,3750000.0,"Food and Beverage, Marketplace, Restaurants",2017,True,https://soplaya.com/
UK,Sopra Cheese,Bath,,"Food, Beverage, Farm, Heath",2020,True,https://www.sopracheese.com/
UK,Sora,LONDON,,"AI,OPENAI,SORA",2023,True,https://sora.town/
UK,Sorair Technologies,London,1750000.0,Logistics,2020,True,https://www.sorair.co.uk/
France,Sorare,Paris,,"Blockchain, Cryptocurrency, Gaming, Sports",2018,True,https://sorare.com/
France,Sorella,Paris,3750000.0,"Hospitals, Health Care, Product, Service",2022,True,https://www.sorella-care.com/
Norway,Soren Hydrogen,Oslo,750000.0,"SAAS, Techno-Economic Modeling, LCOH, Digital Engineering",2022,True,https://sorenhydrogen.com/
Malta,Sorgi,Malta,300000.0,"Furniture, construction, Materials",2020,True,https://www.sorgi.mt/
Estonia,Sorry As A Service,Tallinn,,"Customer Service, Subscription, SaaS, Sorry As A Service, Tallinn",2014,True,www.sorryasaservice.com
Austria,Sortask,Graz,300000.0,"Software Development, AI, App",2025,True,https://www.sortask.com
UK,Sorted,London,1750000.0,"Software Development, Retailers, Brands, Leading Tech",2010,True,https://sorted.com/
UK,Sorted Group,Manchester,,"SaaS, Retail, Shipping",2010,True,https://sorted.com/
Ireland,Sorted Technology,Dublin,,"Freelance, Internet, Messaging, Social",2021,True,https://www.gosorted.com
Italy,Sortie Cargo,Turin,300000.0,Transportation,2021,True,https://www.sortiecargo.com/
Belgium,Sortlist,Brussels,,"Marketing, Matchmaking, Search Tool, Creative Agencies",2014,True,www.sortlist.com
Finland,Sortter,Helsinki,,"fintech, bank, lending, comparison",2018,True,https://sortter.fi
Portugal,Sos Obras Portugal Handymanapp Sosbricoch,Aveiro University,50000.0,"handyman, directory, europe,",2023,True,https://www.sos-obras.pt
Germany,Sosafe Cyber Security Awareness,Cologne,,"B2B, SaaS, Security, IT",2018,True,https://sosafe-awareness.com/
UK,Sosecuador,London,50000.0,"Communities, Education, Hospital",2016,True,https://www.crowdfunder.co.uk/sos-ecuador/
Ireland,Sota,Dublin,,"FinTech, Information Services, Information Technology, Venture Capital",2021,True,http://www.getsota.com
